last,first,current,grad,undergrad,year,h_score,citations
Keeler,Theodore,Berkeley,Reed,MIT,1971,NA,NA
Kline,Patrick,Berkeley,Reed,University of Michigan,2007,16,1503
Lee ,Ronald,Berkeley,Reed,Harvard,1971,62,14905
Letiche,John,Berkeley,McGill,University of Chicago,1951,NA,NA
Malmendier,Ulrike,Berkeley,University of Bonn,Harvard,2002,24,9384
McFadden,Daniel,Berkeley,University of Minnesota,University of Minnesota,1962,NA,NA
Miguel,Edward,Berkeley,MIT,Harvard,2000,43,12691
Miller,Conrad,Berkeley,Stanford,MIT,2014,2,64
Moretti,Enrico,Berkeley,Bocconi University,Berkeley,2000,39,11127
Morgan,John,Berkeley,University of Pennsylvania,Pennsylvania State University,1996,40,7113
Obstfeld,Maurice,Berkeley,University of Pennsylvania,MIT,1979,NA,NA
Olney,Martha,Berkeley,"University of Redlands, California",Berkeley,1985,10,560
Pouzo,Demian,Berkeley,Universidad Torcuato De Tella (Argentina),NYU,2009,NA,NA
Powell,James,Berkeley,Berkeley,Stanford,1982,32,8724
Reich,Michael,Berkeley,Swarthmore,Harvard,???,36,5175
Rodriquez-Clare,Andres,Berkeley,Universidad de Costa Rica,Stanford,1993,NA,NA
Roland,Gerard,Berkeley,Universite Libre de Bruxelles,Universite Libre de Bruxelles,1988,57,16524
Romer,Christina,Berkeley,College of William and Mary,MIT,1985,NA,NA
Romer,David,Berkeley,Princeton,MIT,1985,26,2198
Rothenberg,Thomas,Berkeley,?,?,?,NA,NA
Rothstein,Jesse,Berkeley,Harvard,Berkeley,2003,23,3752
Rubinfeld,Daniel,Berkeley,Princeton,MIT,1972,NA,NA
Saez,Emmanuel,Berkeley,Ecole Normale Superieure,Mit,1999,57,18918
Schoefer,Benjamin,Berkeley,Harvard,Harvard,2015,NA,NA
Scotchmer,Suzanne,Berkeley,University of Washington,Berkeley,1980,NA,NA
Shannon,Chris,Berkeley,University of Kansas,Stanford,1992,NA,NA
Shapiro,Carl,Berkeley,MIT,MIT,1981,67,53519
Sraer,David,Berkeley,Ecole Polytechnique,Toulouse School of Economics,2007,13,1493
Strack,Philipp,Berkeley,University of Bonn,Bonn Graduate School of Business,2013,7,138
Train,Kenneth,Berkeley,Harvard,Berkeley,1977,48,24527
Tyson,Laura,Berkeley,Smith College,MIT,1974,27,6639
Varian,Hal,Berkeley,MIT,Berkeley,1973,84,60541
Walters,Christopher,Berkeley,University of Virginia,MIT,2013,8,528
Ward,Benjamin,Berkeley,Berkeley,Berkeley,?,43,6237
Williamson,Oliver,Berkeley,MIT,Carnegie-Mellon University,1963,103,191511
Woroch,Glenn,Berkeley,University of Wisconsin--Madison,Berkeley,1983,NA,NA
Yagan,Danny,Berkeley,Harvard,Harvard,2012,5,891
Yellen,Janet,Berkeley,Brown,Yale,1971,NA,NA
Zucman,Gabriel,Berkeley,Ecole Normale Superieure de Cachan,Paris School of Economics,2013,8,818
Akcigit,Ufuk,UChicago,MIT,Koc University,2009,12,805
Alvarez,Fernando,UChicago,Minnesota,Universidad La Plata,1994,25,24474
Bonhomme,Stephane,UChicago,University of Paris,Ecole,2005,NA,NA
Dinerstein,Michael,UChicago,Stanford,Stanford,2015,4,95
Greenstone,Michael,UChicago,Princeton,Swarthmore,1998,NA,NA
Hansen,Lars,UChicago,Minnesota,Utah State,1978,63,34897
Heckman,James,UChicago,Princeton,Colorado College,1971,145,125619
Hickman,Brent,UChicago,University of Iowa,Brigham Young,2010,NA,NA
Hortacsu,Ali,UChicago,Stanford,Stanford,2001,23,5094
Lamadon,Thibaut,UChicago,UCL,Supelec,2014,6,92
Levitt,Steven,UChicago,MIT,Harvard,1994,62,40737
List,John,UChicago,University of Wyoming,University of Wisconsin,1996,73,23907
Lopes de Melo,Rafael,UChicago,Yale,Pontifican Universidade Catolica Rio ,2006,NA,NA
Murphy,Kevin,UChicago,UChicago,UChicago,1986,49,34145
Myerson,Roger,UChicago,Harvard,Harvard,1976,NA,NA
